cidade,uf,populacao
Caetité,Bahia,51184
Cabreúva,SãoPaulo,51130
MonteAlto,SãoPaulo,51039
Louveira,SãoPaulo,51007
LagodaPedra,Maranhão,50959
Tucano,Bahia,50903
Itararé,SãoPaulo,50778
NovaVenécia,EspíritoSanto,50751
Cerquilho,SãoPaulo,50631
Bocaiuva,MinasGerais,50521
Macaúbas,Bahia,50481
BrejoSanto,Ceará,50195
CoelhoNeto,Maranhão,49804
Iranduba,Amazonas,49718
Baião,Pará,49454
SãoGonçalodoAmarante,Ceará,49306
Santiago,RioGrandedoSul,49298
Jales,SãoPaulo,49291
MonteSanto,Bahia,49145
Pacajá,Pará,49110
Pedreira,SãoPaulo,48992
BomConselho,Pernambuco,48975
Maracaju,MatoGrossodoSul,48944
Lapa,Paraná,48651
Mauriti,Ceará,48370
SãoBenedito,Ceará,48354
PresidenteDutra,Maranhão,48264
Tremembé,SãoPaulo,48228
NovaMutum,MatoGrosso,48222
SantaCruzdoRioPardo,SãoPaulo,48207
Aquidauana,MatoGrossodoSul,48184
ConceiçãodoAraguaia,Pará,48115
MonteCarmelo,MinasGerais,48049
JoãoPinheiro,MinasGerais,47990
Diamantina,MinasGerais,47924
SantanadoIpanema,Alagoas,47910
CornélioProcópio,Paraná,47840
Ribeirão,Pernambuco,47813
Mairinque,SãoPaulo,47723
Lábrea,Amazonas,47685
MatadeSãoJoão,Bahia,47643
Atalaia,Alagoas,47540
Pederneiras,SãoPaulo,47523
Barras,Piauí,47298
Dracena,SãoPaulo,47287
SenaMadureira,Acre,47168
SãoMateusdoSul,Paraná,47137
CapãoBonito,SãoPaulo,47098
Araioses,Maranhão,47095
Toritama,Pernambuco,47088
Niquelândia,Goiás,47064
SãoGabrieldaCachoeira,Amazonas,47031
Morrinhos,Goiás,46955
CampoMaior,Piauí,46950
Medianeira,Paraná,46940
AugustoCorrêa,Pará,46937
Guajará-Mirim,Rondônia,46930
Poções,Bahia,46885
Sirinhaém,Pernambuco,46845
Osório,RioGrandedoSul,46815
Guaramirim,SantaCatarina,46757
Xique-Xique,Bahia,46562
SãoLourenço,MinasGerais,46539
SantoAntôniodaPlatina,Paraná,46503
Laguna,SantaCatarina,46424
LivramentodeNossaSenhora,Bahia,46372
SantosDumont,MinasGerais,46357
SaltodePirapora,SãoPaulo,46285
Goianira,Goiás,46278
